actual,status,risk_score,risk_level
ipsweep,ANOMALY,51.88,MEDIUM
normal,NORMAL,2.35,LOW
neptune,ANOMALY,80.7,HIGH
normal,NORMAL,11.51,LOW
snmpguess,NORMAL,26.23,LOW
snmpguess,NORMAL,26.63,LOW
warezmaster,NORMAL,25.39,LOW
warezmaster,ANOMALY,52.53,MEDIUM
portsweep,ANOMALY,78.41,HIGH
normal,NORMAL,2.11,LOW
normal,NORMAL,0.61,LOW
guess_passwd,ANOMALY,60.08,MEDIUM
smurf,NORMAL,42.09,MEDIUM
normal,NORMAL,1.19,LOW
normal,NORMAL,2.36,LOW
normal,NORMAL,5.29,LOW
udpstorm,NORMAL,37.64,MEDIUM
warezmaster,NORMAL,35.79,MEDIUM
normal,NORMAL,7.84,LOW
normal,NORMAL,2.52,LOW
normal,NORMAL,0.62,LOW
normal,NORMAL,5.9,LOW
processtable,NORMAL,43.92,MEDIUM
normal,NORMAL,4.09,LOW
mscan,ANOMALY,77.56,HIGH
normal,NORMAL,2.54,LOW
mscan,ANOMALY,66.68,MEDIUM
ipsweep,ANOMALY,56.66,MEDIUM
mscan,ANOMALY,62.66,MEDIUM
normal,NORMAL,6.77,LOW
snmpgetattack,NORMAL,45.31,MEDIUM
processtable,NORMAL,42.33,MEDIUM
normal,NORMAL,1.35,LOW
normal,NORMAL,12.97,LOW
normal,NORMAL,2.89,LOW
warezmaster,NORMAL,28.62,LOW
mailbomb,NORMAL,31.13,MEDIUM
saint,ANOMALY,69.09,MEDIUM
satan,ANOMALY,93.08,HIGH
normal,NORMAL,0.21,LOW
smurf,NORMAL,40.74,MEDIUM
warezmaster,NORMAL,39.02,MEDIUM
normal,NORMAL,1.56,LOW
normal,NORMAL,29.78,LOW
normal,NORMAL,5.78,LOW
mscan,ANOMALY,65.62,MEDIUM
normal,NORMAL,0.45,LOW
normal,NORMAL,4.65,LOW
mscan,ANOMALY,78.68,HIGH
mscan,NORMAL,45.5,MEDIUM
warezmaster,NORMAL,28.59,LOW
ipsweep,NORMAL,51.74,MEDIUM
neptune,ANOMALY,80.16,HIGH
normal,NORMAL,2.46,LOW
neptune,ANOMALY,87.31,HIGH
normal,NORMAL,6.03,LOW
neptune,ANOMALY,74.97,HIGH
neptune,ANOMALY,81.11,HIGH
processtable,NORMAL,47.16,MEDIUM
pod,ANOMALY,62.89,MEDIUM
normal,NORMAL,1.5,LOW
satan,ANOMALY,63.62,MEDIUM
back,NORMAL,20.6,LOW
neptune,ANOMALY,84.77,HIGH
normal,NORMAL,4.45,LOW
normal,ANOMALY,59.89,MEDIUM
portsweep,ANOMALY,75.92,HIGH
normal,NORMAL,4.17,LOW
normal,NORMAL,27.84,LOW
normal,NORMAL,2.26,LOW
normal,NORMAL,16.38,LOW
normal,NORMAL,16.42,LOW
normal,NORMAL,2.17,LOW
apache2,ANOMALY,58.38,MEDIUM
neptune,ANOMALY,79.69,HIGH
portsweep,ANOMALY,77.76,HIGH
neptune,ANOMALY,79.94,HIGH
neptune,ANOMALY,82.32,HIGH
processtable,ANOMALY,67.86,MEDIUM
normal,NORMAL,3.09,LOW
normal,NORMAL,49.72,MEDIUM
normal,NORMAL,0.31,LOW
xterm,NORMAL,31.81,MEDIUM
normal,NORMAL,17.7,LOW
neptune,ANOMALY,82.14,HIGH
normal,NORMAL,0.62,LOW
normal,NORMAL,21.61,LOW
satan,ANOMALY,67.62,MEDIUM
normal,NORMAL,0.98,LOW
normal,NORMAL,0.43,LOW
normal,NORMAL,48.84,MEDIUM
normal,NORMAL,0.42,LOW
neptune,ANOMALY,81.25,HIGH
normal,ANOMALY,74.25,HIGH
normal,NORMAL,18.73,LOW
saint,ANOMALY,92.88,HIGH
satan,ANOMALY,92.35,HIGH
warezmaster,NORMAL,33.36,MEDIUM
apache2,ANOMALY,69.04,MEDIUM
normal,NORMAL,19.11,LOW
neptune,ANOMALY,76.56,HIGH
normal,NORMAL,2.52,LOW
normal,NORMAL,5.97,LOW
neptune,ANOMALY,86.85,HIGH
saint,ANOMALY,93.35,HIGH
normal,NORMAL,0.26,LOW
normal,NORMAL,1.46,LOW
neptune,ANOMALY,81.99,HIGH
normal,NORMAL,1.43,LOW
normal,NORMAL,1.41,LOW
normal,NORMAL,49.39,MEDIUM
normal,NORMAL,6.12,LOW
satan,ANOMALY,94.53,HIGH
neptune,ANOMALY,81.03,HIGH
normal,NORMAL,3.25,LOW
neptune,ANOMALY,80.75,HIGH
normal,NORMAL,0.95,LOW
processtable,NORMAL,40.07,MEDIUM
normal,NORMAL,3.6,LOW
satan,ANOMALY,94.34,HIGH
normal,NORMAL,46.39,MEDIUM
snmpguess,NORMAL,26.39,LOW
neptune,ANOMALY,75.65,HIGH
warezmaster,NORMAL,45.0,MEDIUM
warezmaster,NORMAL,38.76,MEDIUM
neptune,ANOMALY,86.14,HIGH
neptune,ANOMALY,80.27,HIGH
mscan,ANOMALY,79.14,HIGH
normal,NORMAL,29.96,LOW
snmpguess,NORMAL,25.97,LOW
normal,NORMAL,0.39,LOW
normal,NORMAL,1.48,LOW
processtable,ANOMALY,67.23,MEDIUM
neptune,ANOMALY,82.06,HIGH
smurf,NORMAL,50.23,MEDIUM
processtable,NORMAL,38.04,MEDIUM
neptune,ANOMALY,81.5,HIGH
normal,NORMAL,1.36,LOW
normal,NORMAL,4.94,LOW
smurf,NORMAL,42.72,MEDIUM
neptune,ANOMALY,81.79,HIGH
neptune,ANOMALY,76.47,HIGH
warezmaster,NORMAL,24.29,LOW
normal,NORMAL,4.76,LOW
guess_passwd,NORMAL,21.65,LOW
processtable,ANOMALY,75.71,HIGH
normal,NORMAL,2.39,LOW
normal,NORMAL,9.27,LOW
normal,NORMAL,0.33,LOW
normal,NORMAL,1.02,LOW
neptune,ANOMALY,84.09,HIGH
neptune,ANOMALY,76.76,HIGH
neptune,ANOMALY,78.33,HIGH
neptune,ANOMALY,77.7,HIGH
portsweep,ANOMALY,72.12,HIGH
normal,NORMAL,0.76,LOW
normal,ANOMALY,53.53,MEDIUM
neptune,ANOMALY,80.72,HIGH
guess_passwd,NORMAL,23.78,LOW
normal,NORMAL,1.51,LOW
neptune,ANOMALY,81.69,HIGH
warezmaster,NORMAL,51.46,MEDIUM
neptune,ANOMALY,75.99,HIGH
normal,NORMAL,18.4,LOW
mailbomb,NORMAL,32.25,MEDIUM
normal,NORMAL,1.22,LOW
warezmaster,NORMAL,36.26,MEDIUM
normal,NORMAL,7.93,LOW
normal,NORMAL,1.37,LOW
smurf,ANOMALY,52.43,MEDIUM
normal,NORMAL,49.89,MEDIUM
back,NORMAL,21.65,LOW
normal,NORMAL,16.38,LOW
neptune,ANOMALY,75.93,HIGH
neptune,ANOMALY,81.9,HIGH
neptune,ANOMALY,85.96,HIGH
mailbomb,NORMAL,22.02,LOW
nmap,ANOMALY,81.99,HIGH
smurf,NORMAL,41.63,MEDIUM
portsweep,ANOMALY,62.24,MEDIUM
processtable,NORMAL,46.26,MEDIUM
apache2,ANOMALY,58.49,MEDIUM
apache2,ANOMALY,76.76,HIGH
neptune,ANOMALY,76.11,HIGH
satan,ANOMALY,63.66,MEDIUM
normal,NORMAL,3.68,LOW
guess_passwd,NORMAL,9.42,LOW
satan,ANOMALY,65.41,MEDIUM
neptune,ANOMALY,75.82,HIGH
normal,NORMAL,10.77,LOW
normal,NORMAL,49.69,MEDIUM
neptune,ANOMALY,80.88,HIGH
mailbomb,NORMAL,36.19,MEDIUM
normal,NORMAL,15.39,LOW
neptune,ANOMALY,79.98,HIGH
normal,NORMAL,34.73,MEDIUM
neptune,ANOMALY,86.41,HIGH
normal,NORMAL,1.34,LOW
neptune,ANOMALY,79.46,HIGH
normal,NORMAL,6.51,LOW
mscan,ANOMALY,71.27,HIGH
normal,NORMAL,47.72,MEDIUM
neptune,ANOMALY,80.58,HIGH
snmpgetattack,NORMAL,31.22,MEDIUM
snmpguess,NORMAL,26.51,LOW
neptune,ANOMALY,85.42,HIGH
satan,ANOMALY,95.15,HIGH
neptune,ANOMALY,80.27,HIGH
snmpguess,NORMAL,26.43,LOW
neptune,ANOMALY,76.54,HIGH
normal,NORMAL,1.13,LOW
mscan,ANOMALY,66.23,MEDIUM
satan,ANOMALY,92.22,HIGH
apache2,NORMAL,46.25,MEDIUM
normal,NORMAL,0.37,LOW
neptune,ANOMALY,75.05,HIGH
neptune,ANOMALY,71.45,HIGH
neptune,ANOMALY,82.72,HIGH
normal,NORMAL,39.5,MEDIUM
normal,NORMAL,2.27,LOW
normal,NORMAL,5.09,LOW
normal,NORMAL,32.22,MEDIUM
snmpgetattack,NORMAL,27.03,LOW
back,NORMAL,14.33,LOW
neptune,ANOMALY,81.77,HIGH
normal,NORMAL,0.71,LOW
normal,NORMAL,1.22,LOW
mscan,ANOMALY,72.08,HIGH
normal,NORMAL,4.09,LOW
normal,NORMAL,21.04,LOW
normal,NORMAL,18.07,LOW
saint,ANOMALY,52.86,MEDIUM
normal,NORMAL,0.38,LOW
satan,ANOMALY,68.73,MEDIUM
normal,NORMAL,1.95,LOW
normal,NORMAL,4.33,LOW
neptune,ANOMALY,87.16,HIGH
normal,NORMAL,1.02,LOW
normal,NORMAL,13.04,LOW
guess_passwd,NORMAL,28.98,LOW
mscan,ANOMALY,70.39,HIGH
normal,NORMAL,2.41,LOW
normal,NORMAL,22.24,LOW
neptune,ANOMALY,87.52,HIGH
mailbomb,NORMAL,22.07,LOW
normal,NORMAL,4.29,LOW
neptune,ANOMALY,81.73,HIGH
snmpguess,NORMAL,26.13,LOW
neptune,ANOMALY,78.61,HIGH
guess_passwd,NORMAL,19.28,LOW
normal,NORMAL,11.93,LOW
neptune,ANOMALY,87.38,HIGH
normal,NORMAL,6.3,LOW
satan,ANOMALY,56.0,MEDIUM
normal,NORMAL,20.43,LOW
guess_passwd,NORMAL,11.7,LOW
normal,NORMAL,1.35,LOW
mscan,ANOMALY,67.16,MEDIUM
normal,NORMAL,2.0,LOW
normal,NORMAL,19.26,LOW
ipsweep,NORMAL,33.14,MEDIUM
normal,NORMAL,1.51,LOW
neptune,ANOMALY,74.64,HIGH
mscan,ANOMALY,78.88,HIGH
mscan,ANOMALY,73.38,HIGH
normal,NORMAL,15.58,LOW
smurf,NORMAL,46.54,MEDIUM
neptune,ANOMALY,80.0,HIGH
apache2,ANOMALY,61.02,MEDIUM
normal,NORMAL,14.24,LOW
normal,NORMAL,50.09,MEDIUM
normal,NORMAL,16.43,LOW
normal,NORMAL,4.69,LOW
satan,ANOMALY,94.71,HIGH
normal,NORMAL,0.47,LOW
normal,NORMAL,3.37,LOW
guess_passwd,NORMAL,20.68,LOW
normal,NORMAL,34.78,MEDIUM
mscan,ANOMALY,77.65,HIGH
normal,NORMAL,5.38,LOW
normal,NORMAL,1.89,LOW
satan,ANOMALY,94.19,HIGH
normal,NORMAL,1.29,LOW
guess_passwd,NORMAL,11.28,LOW
neptune,ANOMALY,86.49,HIGH
neptune,ANOMALY,78.61,HIGH
mailbomb,NORMAL,27.48,LOW
normal,NORMAL,26.53,LOW
neptune,ANOMALY,87.25,HIGH
normal,NORMAL,4.22,LOW
satan,ANOMALY,67.62,MEDIUM
normal,NORMAL,7.59,LOW
normal,NORMAL,1.12,LOW
neptune,ANOMALY,86.45,HIGH
satan,ANOMALY,93.46,HIGH
neptune,ANOMALY,75.69,HIGH
satan,ANOMALY,91.81,HIGH
mscan,ANOMALY,80.83,HIGH
warezmaster,NORMAL,30.35,MEDIUM
normal,NORMAL,16.25,LOW
saint,ANOMALY,53.74,MEDIUM
normal,NORMAL,2.69,LOW
mscan,ANOMALY,70.83,HIGH
normal,NORMAL,1.96,LOW
neptune,ANOMALY,81.0,HIGH
warezmaster,NORMAL,38.42,MEDIUM
satan,ANOMALY,93.01,HIGH
httptunnel,ANOMALY,62.26,MEDIUM
processtable,ANOMALY,75.91,HIGH
warezmaster,NORMAL,27.8,LOW
processtable,NORMAL,46.56,MEDIUM
neptune,ANOMALY,82.69,HIGH
portsweep,ANOMALY,72.41,HIGH
normal,NORMAL,0.58,LOW
normal,NORMAL,9.88,LOW
mscan,ANOMALY,64.44,MEDIUM
normal,NORMAL,2.98,LOW
normal,NORMAL,0.35,LOW
satan,ANOMALY,67.6,MEDIUM
smurf,NORMAL,46.81,MEDIUM
normal,NORMAL,22.03,LOW
normal,NORMAL,2.27,LOW
snmpgetattack,NORMAL,28.08,LOW
neptune,ANOMALY,74.77,HIGH
neptune,ANOMALY,80.42,HIGH
normal,NORMAL,49.98,MEDIUM
warezmaster,NORMAL,32.24,MEDIUM
guess_passwd,NORMAL,20.15,LOW
mscan,ANOMALY,65.95,MEDIUM
normal,NORMAL,6.77,LOW
apache2,ANOMALY,75.32,HIGH
normal,NORMAL,0.69,LOW
mailbomb,NORMAL,18.52,LOW
neptune,ANOMALY,85.69,HIGH
normal,NORMAL,0.56,LOW
neptune,ANOMALY,85.77,HIGH
normal,NORMAL,2.14,LOW
neptune,ANOMALY,76.32,HIGH
normal,NORMAL,0.68,LOW
normal,NORMAL,1.44,LOW
neptune,ANOMALY,74.59,HIGH
normal,NORMAL,1.13,LOW
apache2,ANOMALY,64.37,MEDIUM
normal,NORMAL,1.31,LOW
normal,NORMAL,46.25,MEDIUM
neptune,ANOMALY,81.59,HIGH
normal,NORMAL,12.03,LOW
mscan,ANOMALY,75.76,HIGH
normal,NORMAL,3.0,LOW
normal,NORMAL,0.33,LOW
normal,NORMAL,25.62,LOW
normal,NORMAL,2.95,LOW
apache2,NORMAL,49.45,MEDIUM
warezmaster,NORMAL,37.09,MEDIUM
neptune,ANOMALY,82.34,HIGH
normal,NORMAL,2.58,LOW
normal,NORMAL,22.23,LOW
snmpguess,NORMAL,26.52,LOW
apache2,ANOMALY,61.19,MEDIUM
nmap,ANOMALY,82.91,HIGH
normal,NORMAL,32.21,MEDIUM
normal,NORMAL,2.72,LOW
saint,ANOMALY,85.85,HIGH
mailbomb,NORMAL,29.23,LOW
guess_passwd,NORMAL,21.01,LOW
normal,NORMAL,13.6,LOW
normal,NORMAL,12.75,LOW
pod,NORMAL,49.53,MEDIUM
normal,NORMAL,6.05,LOW
apache2,ANOMALY,56.96,MEDIUM
apache2,ANOMALY,55.14,MEDIUM
nmap,ANOMALY,76.5,HIGH
neptune,ANOMALY,80.58,HIGH
smurf,NORMAL,49.31,MEDIUM
normal,ANOMALY,61.0,MEDIUM
neptune,ANOMALY,81.74,HIGH
warezmaster,NORMAL,33.13,MEDIUM
neptune,ANOMALY,78.39,HIGH
apache2,ANOMALY,64.62,MEDIUM
normal,NORMAL,1.63,LOW
buffer_overflow,ANOMALY,59.56,MEDIUM
apache2,ANOMALY,76.01,HIGH
back,NORMAL,16.55,LOW
snmpguess,NORMAL,26.49,LOW
neptune,ANOMALY,80.94,HIGH
neptune,ANOMALY,81.64,HIGH
neptune,ANOMALY,76.66,HIGH
satan,ANOMALY,93.7,HIGH
guess_passwd,NORMAL,9.41,LOW
normal,NORMAL,27.03,LOW
normal,NORMAL,3.41,LOW
satan,ANOMALY,66.31,MEDIUM
normal,NORMAL,18.07,LOW
guess_passwd,NORMAL,21.56,LOW
neptune,ANOMALY,74.24,HIGH
normal,NORMAL,23.02,LOW
normal,NORMAL,2.09,LOW
neptune,ANOMALY,81.61,HIGH
xterm,ANOMALY,54.91,MEDIUM
neptune,ANOMALY,73.86,HIGH
neptune,ANOMALY,81.26,HIGH
normal,NORMAL,0.48,LOW
apache2,ANOMALY,65.98,MEDIUM
warezmaster,NORMAL,34.82,MEDIUM
normal,NORMAL,10.83,LOW
neptune,ANOMALY,82.04,HIGH
neptune,ANOMALY,81.55,HIGH
guess_passwd,NORMAL,15.3,LOW
normal,NORMAL,0.71,LOW
normal,NORMAL,0.23,LOW
normal,NORMAL,20.68,LOW
normal,NORMAL,49.71,MEDIUM
warezmaster,NORMAL,27.33,LOW
warezmaster,NORMAL,25.52,LOW
saint,ANOMALY,95.02,HIGH
normal,NORMAL,0.47,LOW
normal,NORMAL,4.75,LOW
normal,NORMAL,2.35,LOW
normal,NORMAL,5.12,LOW
apache2,ANOMALY,66.3,MEDIUM
mailbomb,NORMAL,32.59,MEDIUM
normal,NORMAL,0.35,LOW
guess_passwd,NORMAL,47.85,MEDIUM
normal,NORMAL,49.62,MEDIUM
normal,NORMAL,2.94,LOW
normal,NORMAL,1.62,LOW
warezmaster,NORMAL,44.99,MEDIUM
normal,NORMAL,9.99,LOW
normal,NORMAL,3.55,LOW
normal,NORMAL,0.96,LOW
neptune,ANOMALY,74.28,HIGH
satan,ANOMALY,91.44,HIGH
normal,NORMAL,0.6,LOW
neptune,ANOMALY,81.07,HIGH
processtable,NORMAL,46.34,MEDIUM
snmpgetattack,NORMAL,27.89,LOW
normal,NORMAL,0.65,LOW
normal,NORMAL,23.97,LOW
normal,NORMAL,18.64,LOW
normal,NORMAL,10.86,LOW
normal,NORMAL,10.01,LOW
apache2,ANOMALY,71.78,HIGH
normal,NORMAL,1.61,LOW
normal,NORMAL,3.35,LOW
rootkit,NORMAL,20.42,LOW
apache2,ANOMALY,61.52,MEDIUM
mscan,ANOMALY,77.88,HIGH
normal,NORMAL,0.34,LOW
guess_passwd,NORMAL,12.68,LOW
smurf,ANOMALY,55.68,MEDIUM
normal,NORMAL,5.7,LOW
normal,NORMAL,0.85,LOW
normal,NORMAL,1.37,LOW
snmpguess,NORMAL,29.39,LOW
back,NORMAL,23.44,LOW
normal,NORMAL,1.72,LOW
saint,NORMAL,50.11,MEDIUM
neptune,ANOMALY,79.99,HIGH
neptune,ANOMALY,81.39,HIGH
normal,NORMAL,1.36,LOW
portsweep,ANOMALY,76.16,HIGH
normal,NORMAL,0.87,LOW
neptune,ANOMALY,77.39,HIGH
normal,NORMAL,34.96,MEDIUM
apache2,ANOMALY,53.58,MEDIUM
neptune,ANOMALY,74.6,HIGH
guess_passwd,NORMAL,27.79,LOW
guess_passwd,NORMAL,27.89,LOW
normal,NORMAL,2.26,LOW
processtable,ANOMALY,53.59,MEDIUM
normal,NORMAL,1.39,LOW
guess_passwd,NORMAL,14.63,LOW
mscan,ANOMALY,65.14,MEDIUM
ipsweep,ANOMALY,57.25,MEDIUM
warezmaster,NORMAL,26.24,LOW
apache2,ANOMALY,62.73,MEDIUM
normal,NORMAL,0.96,LOW
mscan,ANOMALY,83.47,HIGH
satan,ANOMALY,66.19,MEDIUM
portsweep,ANOMALY,72.46,HIGH
normal,NORMAL,1.76,LOW
neptune,ANOMALY,74.46,HIGH
normal,NORMAL,0.44,LOW
normal,NORMAL,0.29,LOW
satan,ANOMALY,82.41,HIGH
normal,NORMAL,34.78,MEDIUM
neptune,ANOMALY,80.26,HIGH
apache2,NORMAL,48.54,MEDIUM
smurf,ANOMALY,52.82,MEDIUM
normal,NORMAL,0.4,LOW
apache2,ANOMALY,53.19,MEDIUM
neptune,ANOMALY,79.86,HIGH
normal,NORMAL,1.44,LOW
portsweep,ANOMALY,76.23,HIGH
normal,NORMAL,2.78,LOW
normal,NORMAL,25.25,LOW
normal,NORMAL,5.43,LOW
ipsweep,ANOMALY,51.75,MEDIUM
neptune,ANOMALY,81.19,HIGH
neptune,ANOMALY,76.36,HIGH
normal,NORMAL,10.09,LOW
satan,ANOMALY,93.15,HIGH
neptune,ANOMALY,81.17,HIGH
mscan,ANOMALY,64.12,MEDIUM
normal,NORMAL,1.11,LOW
neptune,ANOMALY,86.53,HIGH
guess_passwd,NORMAL,24.28,LOW
normal,NORMAL,18.53,LOW
mailbomb,NORMAL,28.63,LOW
normal,NORMAL,9.25,LOW
mailbomb,NORMAL,22.57,LOW
warezmaster,NORMAL,26.06,LOW
satan,ANOMALY,67.6,MEDIUM
saint,ANOMALY,93.69,HIGH
apache2,ANOMALY,60.44,MEDIUM
portsweep,ANOMALY,79.93,HIGH
normal,ANOMALY,97.1,HIGH
mailbomb,NORMAL,30.17,MEDIUM
normal,NORMAL,4.27,LOW
normal,NORMAL,1.51,LOW
normal,NORMAL,0.49,LOW
smurf,ANOMALY,52.49,MEDIUM
mscan,ANOMALY,82.14,HIGH
normal,NORMAL,1.8,LOW
neptune,ANOMALY,85.83,HIGH
normal,NORMAL,0.36,LOW
neptune,ANOMALY,86.85,HIGH
mscan,ANOMALY,64.54,MEDIUM
mailbomb,NORMAL,26.25,LOW
neptune,ANOMALY,86.42,HIGH
normal,NORMAL,0.43,LOW
processtable,ANOMALY,67.0,MEDIUM
normal,NORMAL,9.76,LOW
neptune,ANOMALY,86.14,HIGH
guess_passwd,NORMAL,9.38,LOW
normal,NORMAL,1.32,LOW
neptune,ANOMALY,86.9,HIGH
guess_passwd,NORMAL,10.23,LOW
normal,NORMAL,23.97,LOW
normal,NORMAL,25.15,LOW
warezmaster,ANOMALY,52.53,MEDIUM
normal,NORMAL,1.95,LOW
normal,NORMAL,4.17,LOW
neptune,ANOMALY,79.91,HIGH
apache2,ANOMALY,61.02,MEDIUM
mscan,ANOMALY,66.62,MEDIUM
mailbomb,NORMAL,27.06,LOW
ipsweep,ANOMALY,51.76,MEDIUM
normal,NORMAL,17.04,LOW
warezmaster,NORMAL,27.8,LOW
apache2,ANOMALY,60.24,MEDIUM
normal,NORMAL,5.93,LOW
apache2,ANOMALY,61.57,MEDIUM
normal,NORMAL,1.07,LOW
normal,NORMAL,25.02,LOW
saint,ANOMALY,93.48,HIGH
apache2,NORMAL,49.58,MEDIUM
snmpgetattack,NORMAL,26.6,LOW
warezmaster,NORMAL,25.24,LOW
neptune,ANOMALY,86.48,HIGH
guess_passwd,NORMAL,12.67,LOW
mscan,ANOMALY,69.42,MEDIUM
neptune,ANOMALY,80.39,HIGH
normal,NORMAL,16.15,LOW
back,NORMAL,15.89,LOW
neptune,ANOMALY,77.56,HIGH
neptune,ANOMALY,74.25,HIGH
warezmaster,NORMAL,28.39,LOW
normal,NORMAL,38.89,MEDIUM
neptune,ANOMALY,87.12,HIGH
normal,NORMAL,2.97,LOW
back,NORMAL,25.99,LOW
neptune,ANOMALY,80.39,HIGH
normal,NORMAL,2.9,LOW
normal,NORMAL,16.05,LOW
httptunnel,ANOMALY,68.33,MEDIUM
satan,ANOMALY,95.01,HIGH
normal,NORMAL,17.6,LOW
normal,NORMAL,1.17,LOW
normal,NORMAL,1.23,LOW
neptune,ANOMALY,87.36,HIGH
normal,NORMAL,0.21,LOW
back,NORMAL,9.19,LOW
neptune,ANOMALY,76.62,HIGH
normal,NORMAL,0.57,LOW
normal,NORMAL,3.66,LOW
normal,NORMAL,2.16,LOW
apache2,NORMAL,47.7,MEDIUM
mscan,ANOMALY,84.98,HIGH
normal,NORMAL,21.08,LOW
guess_passwd,NORMAL,14.76,LOW
normal,NORMAL,5.86,LOW
normal,NORMAL,2.01,LOW
smurf,NORMAL,44.74,MEDIUM
normal,NORMAL,11.91,LOW
normal,NORMAL,15.23,LOW
normal,ANOMALY,68.4,MEDIUM
neptune,ANOMALY,80.84,HIGH
neptune,ANOMALY,81.04,HIGH
neptune,ANOMALY,87.36,HIGH
processtable,NORMAL,46.24,MEDIUM
smurf,NORMAL,41.95,MEDIUM
mscan,ANOMALY,61.7,MEDIUM
mscan,ANOMALY,64.65,MEDIUM
neptune,ANOMALY,82.34,HIGH
normal,NORMAL,18.45,LOW
normal,NORMAL,0.26,LOW
normal,NORMAL,1.36,LOW
smurf,NORMAL,39.58,MEDIUM
neptune,ANOMALY,86.05,HIGH
warezmaster,NORMAL,28.59,LOW
normal,NORMAL,1.79,LOW
guess_passwd,NORMAL,10.07,LOW
processtable,ANOMALY,67.95,MEDIUM
normal,NORMAL,0.35,LOW
warezmaster,NORMAL,27.42,LOW
normal,NORMAL,35.23,MEDIUM
guess_passwd,NORMAL,22.82,LOW
normal,NORMAL,1.79,LOW
normal,NORMAL,29.87,LOW
smurf,ANOMALY,52.04,MEDIUM
neptune,ANOMALY,74.55,HIGH
neptune,ANOMALY,76.14,HIGH
processtable,NORMAL,51.64,MEDIUM
normal,NORMAL,2.01,LOW
normal,NORMAL,21.88,LOW
normal,NORMAL,2.42,LOW
satan,ANOMALY,94.6,HIGH
mscan,ANOMALY,69.08,MEDIUM
neptune,ANOMALY,81.47,HIGH
neptune,ANOMALY,74.95,HIGH
normal,NORMAL,6.85,LOW
normal,NORMAL,11.96,LOW
normal,NORMAL,3.96,LOW
neptune,ANOMALY,85.6,HIGH
snmpguess,NORMAL,26.33,LOW
saint,ANOMALY,94.11,HIGH
neptune,ANOMALY,76.63,HIGH
normal,NORMAL,0.78,LOW
normal,NORMAL,3.79,LOW
neptune,ANOMALY,87.66,HIGH
normal,NORMAL,30.02,MEDIUM
normal,NORMAL,21.07,LOW
mailbomb,NORMAL,26.81,LOW
normal,NORMAL,50.09,MEDIUM
neptune,ANOMALY,81.64,HIGH
neptune,ANOMALY,75.68,HIGH
mscan,ANOMALY,83.62,HIGH
normal,NORMAL,23.21,LOW
neptune,ANOMALY,78.37,HIGH
warezmaster,NORMAL,28.85,LOW
normal,NORMAL,16.36,LOW
normal,NORMAL,0.48,LOW
normal,NORMAL,29.1,LOW
neptune,ANOMALY,76.03,HIGH
guess_passwd,NORMAL,11.44,LOW
neptune,ANOMALY,73.8,HIGH
neptune,ANOMALY,87.61,HIGH
normal,NORMAL,9.33,LOW
neptune,ANOMALY,84.76,HIGH
smurf,ANOMALY,51.79,MEDIUM
warezmaster,ANOMALY,51.86,MEDIUM
neptune,ANOMALY,84.59,HIGH
normal,NORMAL,3.24,LOW
neptune,ANOMALY,89.75,HIGH
neptune,ANOMALY,75.21,HIGH
normal,NORMAL,3.3,LOW
neptune,ANOMALY,82.67,HIGH
normal,NORMAL,1.15,LOW
neptune,ANOMALY,79.94,HIGH
normal,NORMAL,50.12,MEDIUM
mscan,ANOMALY,70.97,HIGH
normal,NORMAL,27.29,LOW
normal,NORMAL,2.1,LOW
normal,NORMAL,10.23,LOW
pod,NORMAL,49.81,MEDIUM
normal,NORMAL,1.53,LOW
mscan,ANOMALY,76.62,HIGH
portsweep,ANOMALY,67.64,MEDIUM
normal,ANOMALY,88.75,HIGH
normal,NORMAL,10.97,LOW
normal,NORMAL,6.11,LOW
normal,NORMAL,2.39,LOW
mailbomb,NORMAL,18.71,LOW
normal,NORMAL,2.76,LOW
normal,ANOMALY,71.29,HIGH
normal,NORMAL,2.88,LOW
normal,NORMAL,3.01,LOW
processtable,ANOMALY,75.84,HIGH
normal,NORMAL,50.26,MEDIUM
normal,NORMAL,10.98,LOW
normal,NORMAL,2.6,LOW
normal,NORMAL,1.73,LOW
httptunnel,ANOMALY,69.34,MEDIUM
xterm,NORMAL,27.05,LOW
mscan,ANOMALY,75.05,HIGH
warezmaster,NORMAL,16.45,LOW
normal,NORMAL,2.7,LOW
satan,ANOMALY,86.19,HIGH
mscan,ANOMALY,78.96,HIGH
warezmaster,NORMAL,51.23,MEDIUM
mscan,ANOMALY,76.79,HIGH
normal,NORMAL,4.01,LOW
normal,NORMAL,1.36,LOW
normal,NORMAL,2.13,LOW
snmpgetattack,NORMAL,26.91,LOW
normal,NORMAL,1.17,LOW
neptune,ANOMALY,76.86,HIGH
normal,NORMAL,2.16,LOW
normal,NORMAL,3.81,LOW
normal,NORMAL,1.22,LOW
neptune,ANOMALY,75.21,HIGH
guess_passwd,NORMAL,11.09,LOW
mscan,ANOMALY,59.39,MEDIUM
normal,NORMAL,10.07,LOW
back,NORMAL,35.85,MEDIUM
normal,NORMAL,1.1,LOW
neptune,ANOMALY,75.94,HIGH
neptune,ANOMALY,75.23,HIGH
normal,NORMAL,8.5,LOW
normal,NORMAL,1.55,LOW
guess_passwd,NORMAL,33.8,MEDIUM
normal,NORMAL,0.42,LOW
normal,NORMAL,5.48,LOW
normal,NORMAL,0.38,LOW
normal,NORMAL,35.06,MEDIUM
normal,NORMAL,2.44,LOW
